FarmID ,  ParcelID  , Lat        , Lon         , Farm Name               ,  Amount  ,  Weight  ,  Muscle  ,    Fat   ,Features , Front   ,    Leg   ,  Wool , Total
1441401 , 144140    , 65.31262709, -21.05859341, Mýrar                   ,    127   ,    42.5  ,   28.3   ,    3.3   ,   4.1   ,  8.3    ,    17.2  ,  7.9  ,  33.4
1441421 , 144142    , 65.30797906, -21.05843874, Mýrar 3                 ,     72   ,    41.6  ,   28.1   ,    3.4   ,   3.9   ,  8.2    ,    17.1  ,  7.9  ,  33.1
1440651 , 144065    , 65.24504209, -20.82000267, Bjargshóll              ,     92   ,    44.9  ,   28.0   ,    3.6   ,   4.1   ,  8.4    ,    17.3  ,  8.0  ,  33.6
1444931 , 144493    , 65.35575642, -20.75516327, Neðra-Vatnshorn         ,    137   ,    41.5  ,   27.8   ,    3.0   ,   4.0   ,  8.3    ,    17.1  ,  8.0  ,  33.3
1445021 , 144502    , 65.53164245, -20.94967963, Syðri-Sauðadalsá        ,    174   ,    42.4  ,   27.8   ,    3.2   ,   3.7   ,  8.5    ,    17.3  ,  8.1  ,  33.8
1440771 , 144077    , 65.18369264, -20.78468476, Haugur                  ,     66   ,    43.5  ,   27.7   ,    3.7   ,   3.8   ,  8.3    ,    17.4  ,  7.9  ,  33.6
1445631 , 144563    , 65.65428416, -20.72553273, Saurbær                 ,    215   ,    44.9  ,   27.4   ,    3.7   ,   3.9   ,  8.2    ,    17.1  ,  8.1  ,  33.4
1440201 , 144020    ,  65.2014819, -21.06238814, Brautarholt             ,     87   ,    43.2  ,   27.2   ,    3.4   ,   3.9   ,  8.3    ,    17.2  ,  8.0  ,  33.5
1440621 , 144062    ,  65.2023361,  -20.7720271, Barkarstaðir            ,    237   ,    39.9  ,   27.1   ,    3.0   ,   3.8   ,  8.2    ,    17.0  ,  7.7  ,  32.8
1440561 , 144056    , 65.22698095, -21.07526037, Þóroddsstaðir           ,    234   ,    40.6  ,   26.8   ,    2.4   ,   4.1   ,  8.1    ,    17.0  ,  7.9  ,  33.0
1440821 , 144082    , 65.26833642, -20.80958595, Ytra-Bjarg              ,     67   ,    44.3  ,   26.7   ,    3.2   ,   4.0   ,  8.4    ,    17.1  ,  7.9  ,  33.3
1445141 , 144514    , 65.35877815,  -20.7429183, Vatnshóll               ,    239   ,    39.7  ,   26.6   ,    3.0   ,   3.8   ,  8.3    ,    17.3  ,  8.3  ,  33.8
1445161 , 144516    , 65.57475582, -20.82130697, Þorgrímsstaðir          ,     84   ,    40.0  ,   26.6   ,    3.3   ,   3.9   ,  8.2    ,    17.3  ,  8.0  ,  33.4
1444681 , 144468    , 65.35852978, -20.86031299, Grafarkot               ,     79   ,    40.7  ,   26.6   ,    3.6   ,   3.9   ,  8.2    ,    17.0  ,  8.0  ,  33.3
1446411 , 144641    , 65.35323886, -20.60780699, Víðidalstunga           ,    195   ,    39.2  ,   26.5   ,    2.8   ,   3.8   ,  8.1    ,    17.0  ,  7.7  ,  32.7
1445481 , 144548    , 65.66998467, -20.65313833, Krossanes               ,    112   ,    42.9  ,   26.5   ,    3.3   ,   3.9   ,  8.2    ,    17.2  ,  8.0  ,  33.3
1446431 , 144643    , 65.35283767, -20.61094152, Víðidalstunga 2         ,     92   ,    40.9  ,   26.4   ,    2.5   ,   3.6   ,  8.2    ,    17.1  ,  8.0  ,  33.2
1440351 , 144035    , 65.09793505,  -21.0785346, Óspaksstaðir            ,     62   ,    40.3  ,   26.4   ,    3.0   ,   3.7   ,  8.0    ,    16.7  ,  8.0  ,  32.7
1440151 , 144015    , 65.22891667, -21.07643079, Akurbrekka              ,    121   ,    39.0  ,   26.0   ,    3.4   ,   3.6   ,  8.3    ,    17.2  ,  8.0  ,  33.4
1447401 , 144740    , 65.57338967, -20.37002996, Akur                    ,     89   ,    41.9  ,   31.2   ,    3.5   ,   4.4   ,  8.5    ,    17.7  ,  8.0  ,  34.1
1453191 , 145319    , 65.50222065, -19.94844763, Stekkjardalur           ,     87   ,    43.1  ,   29.5   ,    3.7   ,   4.0   ,  8.4    ,    17.5  ,  8.3  ,  34.1
1447411 , 144741    ,  65.6223198, -20.29131784, Árholt                  ,     50   ,    41.2  ,   28.9   ,    4.1   ,   4.0   ,  8.7    ,    17.7  ,  7.9  ,  34.1
1447211 , 144721    , 65.54680217, -20.34759883, Litla-Giljá             ,     83   ,    42.9  ,   28.8   ,    3.9   ,   4.0   ,  8.5    ,    17.3  ,  8.0  ,  33.8
1447291 , 144729    , 65.50631741, -20.37355174, Sveinsstaðir            ,    148   ,    42.4  ,   28.5   ,    4.1   ,   3.9   ,  8.2    ,    17.1  ,  7.9  ,  33.1
1446601 , 144660    , 65.30340853, -20.10483656, Forsæludalur            ,    117   ,    42.8  ,   28.4   ,    3.6   ,   3.6   ,  8.1    ,    17.0  ,  8.0  ,  33.0
1453401 , 145340    , 65.44051451, -19.70843752, Bergsstaðir             ,     65   ,    41.6  ,   28.1   ,    3.6   ,   4.1   ,  8.5    ,    17.3  ,  7.8  ,  33.6
1454191 , 145419    ,  65.5892268, -20.07602175, Fagranes                ,     50   ,    41.7  ,   28.0   ,    3.2   ,   3.9   ,  8.5    ,    17.1  ,  7.9  ,  33.4
1453391 , 145339    , 65.44594781, -19.72227451, Barkarstaðir            ,     80   ,    41.8  ,   27.9   ,    3.3   ,   4.0   ,  8.2    ,    17.0  ,  8.0  ,  33.2
1446761 , 144676    , 65.38347924,  -20.2264614, Hof                     ,    123   ,    42.2  ,   27.7   ,    2.9   ,   3.8   ,  8.3    ,    17.3  ,  8.1  ,  33.6
1458761 , 145876    , 66.10454715, -20.21612781, Víkur                   ,     67   ,    41.7  ,   27.6   ,    2.9   ,   3.9   ,  8.2    ,    17.1  ,  7.9  ,  33.1
1447281 , 144728    , 65.51918346, -20.37835585, Steinnes                ,    349   ,    40.5  ,   27.6   ,    2.9   ,   3.6   ,  8.3    ,    17.2  ,  7.9  ,  33.2
1454391 , 145439    , 65.72004891, -20.17915591, Neðri-Mýrar             ,     91   ,    39.7  ,   27.6   ,    3.1   ,   4.1   ,  8.1    ,    17.1  ,  8.0  ,  33.2
1447161 , 144716    , 65.46278288, -20.33804704, Hnjúkur                 ,    120   ,    43.3  ,   27.6   ,    3.3   ,   4.0   ,  8.3    ,    17.2  ,  7.8  ,  33.2
1453801 , 145380    , 65.43183926, -19.70102832, Leifsstaðir 1           ,     62   ,    39.9  ,   27.5   ,    3.6   ,   4.2   ,  8.3    ,    17.1  ,  7.8  ,  33.1
1453081 , 145308    , 65.49014303, -19.96051623, Litlidalur              ,     73   ,    42.1  ,   27.4   ,    2.8   ,   4.0   ,  8.2    ,    17.2  ,  7.8  ,  33.1
1458451 , 145845    , 66.07526291, -20.36558309, Hafnir                  ,    108   ,    42.0  ,   27.2   ,    3.3   ,   3.7   ,  8.3    ,    17.2  ,  8.0  ,  33.5
